ID,Image_Name,Image_Features,Name,Image_Description
42,image_05986.jpg,"[[-4.2106234e-04  5.8727397e-04  5.6437813e-03 ... -1.3761302e+00
  -8.2194433e-02  3.6403310e-01]]",windflower,a green and white windflower in a windflower pot 
43,image_00598.jpg,"[[ 7.5584496e-05  6.5884795e-03  5.1816227e-03 ... -5.8401012e-01
  -1.9481930e-01  5.8943078e-02]]",watercress,a close up view of a close up view of a plant 
44,image_00005.jpg,"[[-4.7547062e-04  6.5480606e-03 -3.4137894e-03 ...  1.6949911e+00
  -3.2483694e-01 -1.9104576e-01]]",passion flower,a very pretty passion flower in the middle of a plant 
45,image_01004.jpg,"[[-6.7238929e-05  1.2005847e-02  2.9241791e-04 ...  5.2019584e-01
  -2.8619820e-01  1.4183314e+00]]",wallflower,a red rose in the middle of a wallflower arrangement 
46,image_07734.jpg,"[[-3.5287949e-04  8.6050751e-03  8.3179300e-04 ...  1.2559017e+00
  -4.6921980e-01 -9.6897894e-01]]",mallow,a plant that is growing out of a plant 
47,image_07102.jpg,"[[-9.9347858e-04  1.6613082e-03 -2.0324623e-03 ...  1.8060304e+00
  -3.3010814e-01  1.6431622e-01]]",globe thistle,a large purple globe thistle in the middle of a plant 
48,image_06217.jpg,"[[-3.6709692e-04 -1.0968522e-03 -3.3589225e-04 ...  2.2975904e-01
  -2.8051725e-01  7.1913981e-01]]",oxeye daisy,a large white oxeye daisy sitting on top of a green field 
49,image_01132.jpg,"[[ 1.9821952e-04  8.1122071e-03  4.5239064e-03 ... -3.8143179e-01
  -2.1725142e-01  2.6768866e-01]]",wallflower,two yellow wallflowers in a wallflower pot on a sunny day 
50,image_02809.jpg,"[[-2.6102894e-04  2.9156434e-03 -1.0452563e-03 ... -5.5186373e-01
   3.0897769e-01  3.1279796e-01]]",bishop of llandaff,a red bishop of llandaff sitting on top of a green plant 
51,image_05161.jpg,"[[-3.1790853e-04 -3.3931844e-03  1.0092767e-03 ... -3.8316980e-01
  -2.0262526e-01 -2.6630715e-01]]",english marigold,a yellow english marigold sitting on top of a green plant 
52,image_03726.jpg,"[[-7.8614808e-05  6.7125657e-03  2.6729803e-03 ... -4.7154593e-01
  -1.0320447e-01  1.7635990e+00]]",primula,a row of white primulas sitting on top of each other 
53,image_04692.jpg,"[[ 1.5405848e-04  1.1536929e-02  7.8011752e-04 ...  1.4845641e+00
   5.6600189e-01 -1.5347677e-01]]",buttercup,a small yellow buttercup in the middle of a bush 
54,image_06041.jpg,"[[-1.1976439e-04  6.2879487e-03  2.0739846e-03 ...  2.5196211e+00
  -2.1756025e-01  1.7216005e+00]]",ball moss,a ball moss in a vase on the ground 
55,image_04654.jpg,"[[-6.4641135e-05  4.5321849e-03  1.4121393e-03 ...  1.3642843e+00
  -9.7340077e-02 -2.2118646e-01]]",buttercup,a bird that is standing in the grass 
56,image_04281.jpg,"[[-7.4858639e-05  3.7886288e-03  4.0653447e-04 ...  1.7787950e+00
  -2.0042832e-01  2.1639673e-01]]",peruvian lily,a peruvian lily in a vase on a sunny day 
57,image_05148.jpg,"[[-8.3983417e-05  6.9930223e-03  2.0703971e-03 ...  7.9477924e-01
  -9.6658327e-02  8.0033928e-01]]",english marigold,a english marigold vase filled with lots of yellow english marigolds 
58,image_01783.jpg,"[[-2.6549419e-04  4.8060091e-03  2.8157691e-03 ...  1.3457448e+00
  -2.2169806e-01  6.6637570e-01]]",hibiscus,a person holding a hibiscus in their hand 
59,image_00376.jpg,"[[-3.8213679e-04  4.0441514e-03  9.1053604e-04 ... -9.6451747e-01
   7.6244557e-03  8.5284656e-01]]",water lily,a water lily in a water lily pot on a sunny day 
60,image_07701.jpg,"[[1.0323457e-04 1.2991126e-02 2.7435941e-03 ... 6.7805058e-01
  1.8543638e-01 2.4429691e+00]]",mallow,a pink rose in a pink mallow pot 
61,image_06842.jpg,"[[ 7.7602024e-05  8.3272662e-03 -1.3773426e-04 ...  2.8755779e+00
  -3.7401044e-01  1.3367118e-01]]",red ginger,a red ginger in a vase on a sunny day 
62,image_08138.jpg,"[[-2.9305241e-04  9.6387332e-03  1.1358567e-03 ... -4.4817820e-01
   3.1803170e-01  1.2883829e+00]]",gaura,a small bird standing on top of a plant 
63,image_07705.jpg,"[[-1.0468900e-04  1.0479292e-02  1.5859129e-03 ... -1.6305251e-01
  -1.9667725e-01  4.8740971e-01]]",mallow,a mallow in a vase on a window sill 
64,image_04770.jpg,"[[-2.9500577e-04  8.4245969e-03  2.4820406e-03 ...  1.7683767e+00
   1.7161439e-01  4.0100911e-01]]",desert-rose,a red and white desert-rose sitting on top of a green plant 
65,image_06470.jpg,"[[-4.3277885e-04  5.5084690e-03  9.8003648e-06 ... -4.6690945e-02
   9.3271444e-03  1.4998562e+00]]",love in the mist,a blue and white vase filled with purple and yellow love in the mists 
66,image_05284.jpg,"[[-7.1144124e-05 -2.7229585e-04  4.4777691e-03 ... -1.3226168e-01
  -2.5369176e-01  3.4176064e-01]]",tree poppy,a black and white photo of a brown and white tree poppy 
67,image_04464.jpg,"[[ 1.6562572e-04  8.9947004e-03  2.7329004e-03 ...  1.8918710e+00
  -2.8634101e-01  3.1243613e-01]]",canna lily,a vase filled with canna lilys on top of a tree 
68,image_03819.jpg,"[[-5.2295247e-04  7.1796314e-03 -2.6612920e-03 ...  1.4115767e+00
  -4.2262053e-01  1.2646432e+00]]",cape flower,a vase filled with purple cape flowers on top of a table 
69,image_04980.jpg,"[[-9.5152893e-07  4.7867652e-03  4.4632899e-03 ...  5.1960176e-01
  -3.4072083e-01 -4.8962515e-02]]",marigold,a close up view of some marigolds in a vase 
70,image_04289.jpg,"[[-3.8363700e-04  9.3496488e-03  2.1612186e-03 ... -2.5644681e-01
   6.8615369e-02  6.9657677e-01]]",peruvian lily,a vase filled with peruvian lilys on top of a table 
71,image_05819.jpg,"[[-1.1350131e-04  3.3309490e-03 -1.5973956e-04 ...  8.3666933e-01
   3.8257629e-01  2.8885329e-01]]",great masterwort,a vase filled with great masterworts on top of a table 
72,image_02244.jpg,"[[-3.1147225e-04  2.3275311e-03 -8.7472341e-05 ...  5.2252495e-01
  -2.3028032e-01  2.3558851e-01]]",barbeton daisy,two red barbeton daisys in a red vase on a sidewalk 
73,image_00106.jpg,"[[-1.6838788e-04  6.9135609e-03 -1.9276051e-03 ...  6.3220173e-01
  -4.8441556e-01 -5.4588832e-02]]",passion flower,a black and white photo of a plant 
74,image_00360.jpg,"[[-4.2888834e-04  1.9614182e-03  8.6605229e-04 ...  1.1046299e+00
   6.5106347e-02  1.4789958e+00]]",water lily,a water lily that is in a pot of water 
75,image_03392.jpg,"[[ 3.0769545e-04  1.1214629e-02 -5.1862199e-04 ...  1.6745870e+00
  -8.3865888e-02  5.1381373e-01]]",fritillary,a black and white photo of a brown and white dog 
76,image_07230.jpg,"[[-9.4740404e-05  4.3679052e-03  5.3300578e-03 ... -3.5736211e-02
   1.7395622e+00  2.7218914e-01]]",moon orchid,a row of white moon orchids in a white vase 
77,image_05278.jpg,"[[-8.7404187e-05  2.4907105e-03  4.2662993e-03 ...  7.5764358e-01
   1.2830463e-01  3.6750236e-01]]",tree poppy,a white tree poppy in a white vase on the ground 
78,image_04756.jpg,"[[-1.2540127e-04  7.6039396e-03  2.3297879e-03 ... -2.5969189e-01
  -1.7780966e-01  9.3258208e-01]]",pelargonium,a pink rose is in a pelargonium pot 
79,image_03615.jpg,"[[-4.5916584e-04  7.6366165e-03  4.4269566e-03 ... -3.7706569e-01
  -6.0729865e-02  9.4680637e-01]]",azalea,a pink azalea sitting on top of a green plant 
80,image_06412.jpg,"[[-3.9096856e-05  1.2007631e-02  5.9412536e-03 ... -1.1574866e-01
   1.4463703e-01  8.9728498e-01]]",monkshood,two purple and white monkshoods in a blue and white vase 
81,image_02302.jpg,"[[-0.000922   -0.00659107 -0.0036024  ... -0.2687594  -0.6416815
  -0.71492815]]",barbeton daisy,a barbeton daisy in a vase on a sunny day 
82,image_01494.jpg,"[[-2.6937126e-04  6.1173197e-03  1.7957875e-03 ... -5.2050793e-01
   1.1674403e+00  3.2164699e-01]]",poinsettia,a red rose in a red vase on a table 
83,image_00864.jpg,"[[-2.6115429e-04  7.0991926e-03  1.7505164e-03 ...  1.0861825e+00
  -3.8189557e-01  1.8989526e+00]]",frangipani,a vase filled with frangipanis on top of a lush green field 
84,image_06964.jpg,"[[-7.3916325e-04  9.5307580e-05  3.3151140e-03 ...  3.1770486e-01
  -7.0270276e-01  7.0163286e-01]]",mexican aster,a green and white mexican aster in a green and white mexican aster 
85,image_07496.jpg,"[[-2.1592305e-04  1.0927737e-02  2.1722747e-03 ... -6.2366390e-01
  -4.6289510e-01  9.4405669e-01]]",bougainvillea,a pink rose is in a green vase 
86,image_01255.jpg,"[[-3.4885877e-04  4.3473803e-03  5.2531250e-03 ... -5.1074177e-01
  -1.6230352e-01  2.9309664e+00]]",rose,a pink rose in a pink rose bush 
87,image_02789.jpg,"[[-1.1590089e-04  4.8769163e-03  6.7353778e-04 ...  8.5393071e-01
  -2.9415980e-01  8.0024540e-01]]",bishop of llandaff,a red fire hydrant with a bunch of red bishop of llandaffs in it 
88,image_00539.jpg,"[[-6.8233674e-04  1.2854032e-02  2.5449744e-03 ...  1.0659568e+00
  -2.2776234e-01  4.7023821e-01]]",cyclamen,a row of pink cyclamens in a green vase 
89,image_05680.jpg,"[[-1.7214924e-04  8.8733565e-03  2.0230589e-03 ... -2.2718570e-01
  -9.0138704e-01  1.3664343e+00]]",sweet pea,a pair of red roses in a sweet pea pot 
90,image_01191.jpg,"[[-4.4265466e-06  7.0939125e-03  1.2128608e-03 ...  1.3038371e+00
  -3.0812564e-01  9.1504413e-01]]",rose,a red rose in a red rose bush 
91,image_03083.jpg,"[[-8.2303380e-04  1.2786464e-03 -4.4516445e-04 ...  2.9445086e+00
  -1.3403986e-01  5.4719889e-01]]",bee balm,a black and white photo of a red and white bee balm 
92,image_00390.jpg,"[[-4.8747263e-04 -2.9269375e-03  4.0799641e-04 ...  6.0465962e-01
   4.3215474e-01 -5.9562153e-01]]",water lily,a water lily sitting in a pot on top of a body of water 
93,image_02996.jpg,"[[-4.0542235e-04  4.3885158e-03  3.1561973e-03 ...  5.6560361e-01
  -3.3043316e-01 -1.3038670e+00]]",pink-yellow dahlia,a pink-yellow dahlia in a vase on a sunny day 
94,image_03977.jpg,"[[-0.00039821  0.00688466  0.00289108 ... -0.24615452  0.22998284
   0.31653097]]",petunia,a row of white petunias in a white vase 
95,image_02904.jpg,"[[-0.00057346 -0.00113645  0.00442827 ... -0.542202   -0.5251226
   0.53077286]]",tree mallow,a purple and white tree mallow in a blue vase 
96,image_04093.jpg,"[[-3.7415224e-04  5.0923806e-03 -1.8966837e-04 ...  1.1297336e+00
  -3.2390803e-01  1.0436853e+00]]",artichoke,a pile of red and yellow artichokes sitting on top of a bush 
97,image_01394.jpg,"[[-9.1326263e-05  9.1302325e-04  3.7596703e-03 ... -4.3799981e-01
  -3.2342732e-01 -1.2691721e+00]]",petunia,a white petunia sitting on top of a plant 
98,image_04454.jpg,"[[-1.4247063e-04  1.0698309e-02  7.5187804e-03 ... -3.5486925e-01
  -1.1344262e+00  1.1291425e+00]]",canna lily,a very pretty canna lily in the middle of a field 
99,image_04500.jpg,"[[-1.6332540e-04  1.9998194e-03 -7.8291720e-04 ...  1.1386582e-01
  -2.2771461e-01 -1.2190198e-01]]",gazania,a gazania arrangement in a vase on a sunny day 
100,image_04590.jpg,"[[ 4.6960791e-05  1.0967951e-02  1.8475126e-03 ... -1.6682009e-01
  -8.5690337e-01  1.2953544e+00]]",lenten rose,a red and white lenten rose in the middle of a tree 
101,image_03805.jpg,"[[-1.9228057e-04  6.6232658e-03 -7.6423213e-04 ... -4.6893567e-01
   4.0782893e-01  2.0078251e+00]]",cape flower,a cape flower in a vase on the ground 
102,image_05554.jpg,"[[-6.8658538e-04 -3.9036063e-04 -1.8696558e-03 ... -9.5457971e-01
  -1.1849118e+00  3.1249611e-02]]",osteospermum,a osteospermum arrangement in a vase on a table 
103,image_07939.jpg,"[[-3.4277258e-04 -3.1871011e-04  1.9427710e-03 ...  5.2738571e-01
  -8.0745131e-01 -2.7807742e-01]]",blanket flower,a close up picture of a blanket flower in a blanket flower pot 
104,image_01902.jpg,"[[-3.2150038e-04  8.6173918e-03  4.2344052e-03 ...  7.5580639e-01
  -7.9500891e-02  9.5762587e-01]]",lotus lotus,a pink rose sitting on top of a green plant 
105,image_03993.jpg,"[[-2.1585821e-04  9.6790260e-03 -6.5940013e-04 ...  5.3835982e-01
  -7.7992779e-01 -5.1174921e-01]]",petunia,a close up view of a plant in a field 
106,image_04165.jpg,"[[-4.1897522e-04  9.7696893e-03  8.7510271e-04 ...  6.0898447e-01
  -2.7061146e-01  4.1296065e-01]]",wild pansy,a wild pansy in a vase with other wild pansys in it 
107,image_03732.jpg,"[[-1.5751318e-04  6.0007847e-03  3.2711993e-03 ...  4.3142468e-01
   5.0757724e-01  8.6363757e-01]]",primula,a bouquet of primulas sitting on top of a table 
108,image_02110.jpg,"[[2.8825208e-04 1.3197665e-02 4.0848395e-03 ... 2.2060611e+00
  1.0774632e+00 9.4440860e-01]]",thorn apple,a very pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty pretty
109,image_03286.jpg,"[[-4.6348435e-04 -2.9859424e-03 -2.3505085e-03 ...  1.9373888e+00
  -7.2367239e-01 -5.4182214e-01]]",bird of paradise,a bird of paradise in a bird of paradise pot on a sunny day 
110,image_02714.jpg,"[[ 1.0446934e-04  1.2247030e-02  2.8264695e-03 ... -9.1254735e-01
   3.3600837e-01  5.5302918e-01]]",geranium,a vase filled with geraniums on top of a table 
111,image_04091.jpg,"[[-7.7160541e-04  2.0842415e-03 -2.3316357e-03 ...  1.6284176e+00
  -2.1094570e-01  1.6253524e+00]]",artichoke,a large red and white artichoke sitting on top of a table 
112,image_04394.jpg,"[[-4.0768125e-04  5.2477606e-03 -1.3193552e-03 ... -8.0999416e-01
   5.5092961e-01  4.0771410e-01]]",ruby-lipped cattleya,a black and white photo of a plant 
113,image_08068.jpg,"[[-2.2822512e-04  6.9049718e-03  3.8821234e-03 ... -1.2078234e-02
  -3.5927173e-01  1.1769741e+00]]",carnation,a carnation in a vase on a table 
114,image_05992.jpg,"[[-1.08095686e-04  1.85748446e-04  2.32746918e-03 ... -1.31038570e+00
   5.39870739e-01  3.48075151e-01]]",windflower,a black and white photo of a green and white windflower 
115,image_03849.jpg,"[[-6.1001501e-04  3.8464158e-03  1.8366078e-03 ...  4.4278249e-01
  -1.3234799e-01  1.4663291e+00]]",purple coneflower,a red purple coneflower sitting in the middle of a grassy area 
116,image_06391.jpg,"[[-2.5183035e-04  5.7504908e-03  4.7281319e-03 ...  1.0331539e+00
  -1.8515652e-01 -9.4518684e-02]]",yellow iris,a yellow yellow iris in a vase on the ground 
117,image_00956.jpg,"[[ 3.5297489e-05  1.0790478e-02  5.0504613e-03 ...  5.5993772e-01
  -3.8826028e-01  2.4544749e-01]]",wallflower,a bouquet of wallflowers in a vase on the ground 
118,image_07137.jpg,"[[ 1.9190287e-04  1.1121257e-02 -1.7594455e-05 ... -3.1459248e-01
  -4.1963512e-01  6.1133493e-02]]",bolero deep blue,a bolero deep blue arrangement in a bolero deep blue pot on a sunny day 
119,image_03569.jpg,"[[-0.00056525  0.00238541  0.00426426 ...  0.34528616  0.25761607
   0.36986962]]",azalea,a azalea in a azalea pot on the ground 
120,image_05888.jpg,"[[-4.5381335e-04 -2.7068821e-03 -8.2454103e-04 ...  1.0455428e-03
  -4.1694206e-01  4.8554763e-01]]",black-eyed susan,a yellow black-eyed susan sitting on top of a yellow bush 
121,image_00876.jpg,"[[-0.00045916  0.00783971  0.00269585 ... -0.33962226 -0.1704063
   0.00827821]]",frangipani,a close up view of some frangipanis in a vase 
122,image_01244.jpg,"[[-1.11117715e-05  2.58551026e-03  6.65860716e-03 ...  1.44141793e+00
   6.92023039e-01  1.03198916e-01]]",rose,a white rose in a white vase 
123,image_02750.jpg,"[[ 2.5197104e-04  1.1919287e-02  4.5506209e-03 ... -6.7617446e-01
   2.7863887e-01  6.7491066e-01]]",geranium,a row of red geraniums in a geranium pot 
124,image_05607.jpg,"[[-1.4640176e-04  1.2907471e-02  5.6050479e-04 ... -8.4376854e-01
  -2.5988603e-01  1.6997743e+00]]",garden phlox,a bouquet of garden phloxs sitting on top of a rock 
125,image_06909.jpg,"[[ 2.6105321e-04  9.9418983e-03  7.7859662e-04 ...  1.5297216e+00
  -1.7192985e-01  1.6865383e+00]]",carnation,a vase filled with pink carnations next to a fence 
126,image_00242.jpg,"[[-4.13030968e-04  7.42886309e-03  1.04837614e-04 ...  1.77225196e+00
  -7.56700695e-01 -1.39346600e-01]]",passion flower,a plant that is in the middle of some plants 
127,image_00668.jpg,"[[ 1.1853172e-04  8.5806558e-03  9.7037526e-04 ...  4.5219055e-01
  -5.8143413e-01 -6.8569648e-01]]",watercress,a close up view of a close up view of a watercress pot 
128,image_03419.jpg,"[[3.5348319e-04 1.2772468e-02 1.2912458e-03 ... 1.5953805e+00
  7.8551143e-02 9.2209351e-01]]",fritillary,a close up picture of a fritillary in a fritillary pot 
129,image_01253.jpg,"[[-1.4286915e-04  5.2216728e-03  6.4813527e-03 ... -6.1485487e-01
   1.0555049e+00 -4.9293390e-01]]",rose,a pink rose in a white vase 
130,image_00340.jpg,"[[-2.5125765e-04  5.4117162e-03  2.8234355e-03 ... -4.5535669e-01
   4.7982571e-01  2.8021082e-01]]",water lily,a very pretty water lily in a very pretty water lily pot 
131,image_05140.jpg,"[[ 2.4008399e-05  6.1042821e-03  7.4977620e-04 ...  3.6227077e-01
   1.4135458e-01 -7.0499271e-01]]",hard-leaved pocket orchid,a black and white photo of a green and white hard-leaved pocket orchid 
132,image_05100.jpg,"[[ 1.1987264e-04  8.2909828e-03  9.3760097e-04 ...  4.6859244e-01
   3.7186798e-01 -6.3677585e-01]]",hard-leaved pocket orchid,a pink and white teddy bear sitting on top of a white background 
133,image_01887.jpg,"[[-5.1738723e-04  7.2401459e-03  6.2285946e-04 ... -3.9082316e-01
   5.7014334e-01 -8.4047824e-02]]",lotus lotus,a lotus lotus in a vase on a sunny day 
134,image_00658.jpg,"[[ 0.00039771  0.00732272  0.00619066 ... -0.34894362 -0.0352914
   0.16304417]]",watercress,a close up view of a close up view of a close up view of a plant 
135,image_04033.jpg,"[[-5.7814363e-04  5.7014362e-03 -1.5826299e-03 ...  4.7917762e+00
  -3.3721417e-01 -6.1800063e-01]]",colt's foot,a pile of yellow colt's foots sitting on top of each other 
136,image_01739.jpg,"[[-1.3422042e-04  8.9252973e-03  2.5129658e-03 ... -2.9678151e-02
  -6.3492548e-01 -2.1729088e-01]]",hibiscus,a red rose in the middle of a plant 
137,image_07659.jpg,"[[-1.8381092e-05  5.6786649e-03  4.2019240e-03 ...  5.3672872e+00
  -1.9372548e-01  3.7713728e+00]]",camellia,a pink rose in a white vase on a table 
138,image_07632.jpg,"[[ 6.1540974e-05  1.6349763e-02  1.9061510e-03 ... -1.2600884e+00
  -2.4301502e-01  1.6723786e-01]]",camellia,a red rose in a red rose bush 
139,image_03174.jpg,"[[-6.5544897e-05  6.6383397e-03  2.4167965e-03 ... -1.6879970e+00
   1.0908492e-01 -2.4773644e-01]]",snapdragon,a white vase filled with snapdragons on top of a tree 
